residue,steric_parameter,polarizability,volume,hydrophobicity,isoelectric_pt,epitope,epitope_noep
ALA,1.28,0.05,1,-0.5,6.11,0.953,0.755
GLY,0,0,0,0,6.07,1.3939,1.068
VAL,3.67,0.14,3,-1.5,6.02,0.93852,0.636
LEU,2.59,0.19,4,-1.8,6.04,1.2714,0.693
ILE,4.19,0.19,4,-1.8,6.04,0.88667,0.706
PHE,2.94,0.29,5.89,-2.5,5.67,0.7576,0.852
TYR,2.94,0.3,6.47,-2.3,5.66,0.9761,1.264
TRP,3.21,0.41,8.08,-3.4,5.94,0.3133,1.009
THR,3.03,0.11,2.6,-0.4,5.6,1.3544,0.986
SER,1.31,0.06,1.6,0.3,5.7,1.343,0.961
ARG,2.34,0.29,6.13,3,10.74,1.26723,1.549
LYS,1.89,0.22,4.77,3,9.99,1.3471,1.294
HIS,2.99,0.23,4.66,-0.5,7.69,0.4827,1.249
ASP,1.6,0.11,2.78,3,2.95,1.2687,1.381
GLU,1.56,0.15,3.78,3,3.09,1.3724,1.383
ASN,1.6,0.13,2.95,0.2,6.52,1.43619,1.22
GLN,1.56,0.18,3.95,0.2,5.65,0.96847,1.22
MET,2.35,0.22,4.43,-1.3,5.71,0.29683,0.851
PRO,2.67,0,2.72,0,6.8,1.01801,1.074
CYS,1.77,0.13,2.43,-1,6.35,0.35367,0.612
UNK,0,0,0,0,0,0,0
,,,,,,,
,,,,,,,
